sra_accession	ecotype	isMix	isWild	original_ecotype	original_genotype
DRR023265	NA	NA	NA	NA	NA
DRR029595	NA	NA	NA	missing	NA
DRR029600	NA	NA	NA	missing	NA
DRR029709	NA	NA	NA	NA	NA
DRR029712	NA	NA	NA	NA	NA
DRR029714	NA	NA	NA	NA	NA
DRR029719	NA	NA	NA	NA	NA
DRR029722	NA	NA	NA	NA	NA
DRR029724	NA	NA	NA	NA	NA
DRR029729	NA	NA	NA	NA	NA
DRR029734	NA	NA	NA	NA	NA
DRR029735	NA	NA	NA	NA	NA
DRR031643	6899	0	NA	Bay-0	NA
DRR031645	6932	0	NA	LER-1	NA
DRR031652	6903	0	NA	Bor-4	NA
DRR031654	6730	0	NA	CIBC-5	NA
DRR031658	7183	0	NA	Kas-1	NA
DRR031661	10014	0	NA	Xan-1	NA
DRR031666	6909	0	NA	Col-0	NA
DRR076056	NA	NA	NA	missing	NA
DRR076061	NA	NA	NA	missing	NA
DRR076063	NA	NA	NA	missing	NA
DRR076064	NA	NA	NA	missing	NA
DRR076065	NA	NA	NA	missing	NA
DRR083662	NA	NA	NA	missing	NA
DRR083704	NA	NA	NA	missing	NA
DRR100941	NA	NA	NA	NA	NA
DRR125128	NA	NA	NA	missing	NA
DRR125129	NA	NA	NA	missing	NA
DRR125130	NA	NA	NA	missing	NA
DRR125131	NA	NA	NA	missing	NA
DRR125133	NA	NA	NA	missing	NA
DRR125137	NA	NA	NA	missing	NA
DRR125138	NA	NA	NA	missing	NA
DRR125140	NA	NA	NA	missing	NA
DRR125143	NA	NA	NA	missing	NA
DRR125144	NA	NA	NA	missing	NA
DRR125145	NA	NA	NA	missing	NA
DRR125148	NA	NA	NA	missing	NA
DRR125150	NA	NA	NA	missing	NA
DRR125151	NA	NA	NA	missing	NA
DRR129438	NA	NA	NA	NA	NA
DRR129439	NA	NA	NA	NA	NA
DRR129441	NA	NA	NA	NA	NA
DRR173056	NA	NA	NA	missing	NA
DRR173057	NA	NA	NA	missing	NA
DRR173058	NA	NA	NA	missing	NA
DRR178718	NA	NA	0	NA	CDKC;2-FLAG/ cdkc;2/ CCA1pro:LUC
DRR187996	NA	NA	NA	missing	NA
DRR187998	NA	NA	NA	missing	NA
DRR188000	NA	NA	NA	missing	NA
DRR188001	NA	NA	NA	missing	NA
DRR188003	NA	NA	NA	missing	NA
DRR188007	NA	NA	NA	missing	NA
DRR188008	NA	NA	NA	missing	NA
DRR188010	NA	NA	NA	missing	NA
DRR188011	NA	NA	NA	missing	NA
DRR188012	NA	NA	NA	missing	NA
DRR188013	NA	NA	NA	missing	NA
DRR188015	NA	NA	NA	missing	NA
DRR188016	NA	NA	NA	missing	NA
DRR188017	NA	NA	NA	missing	NA
DRR188018	NA	NA	NA	missing	NA
DRR188019	NA	NA	NA	missing	NA
DRR188020	NA	NA	NA	missing	NA
DRR188021	NA	NA	NA	missing	NA
DRR188023	NA	NA	NA	missing	NA
DRR188025	NA	NA	NA	missing	NA
DRR188027	NA	NA	NA	missing	NA
DRR188029	NA	NA	NA	missing	NA
DRR188030	NA	NA	NA	missing	NA
DRR188031	NA	NA	NA	missing	NA
DRR188034	NA	NA	NA	missing	NA
DRR188036	NA	NA	NA	missing	NA
DRR188037	NA	NA	NA	missing	NA
DRR188041	NA	NA	NA	missing	NA
DRR188044	NA	NA	NA	missing	NA
DRR188045	NA	NA	NA	missing	NA
DRR188046	NA	NA	NA	missing	NA
DRR188047	NA	NA	NA	missing	NA
DRR188053	NA	NA	NA	missing	NA
DRR188054	NA	NA	NA	missing	NA
